# Copyright (C) 2026, Advanced Micro Devices, Inc. All rights reserved.
# SPDX-License-Identifier: MIT
key,family,device,problem_type,reason_to_close,techniques,route_wns_before,route_wns_after,max_cong,n_tcl,data_dir
TSR-977532,versal,,QOR,Explanation provided,pblock_floorplan|phys_opt|replication|high_fanout|noc_qos,,,,0,https://jira.xilinx.com/public/bugcases/TSR/977000-977999/977532/
TSR-977556,versal,,Debug/Test Assistance,Explanation provided,SLR_assignment|pblock_floorplan|phys_opt|ExtraNetDelay|congestion|noc_qos,,,,0,https://jira.xilinx.com/public/bugcases/TSR/977000-977999/977556/
TSR-977746,versal,xcvp1802,QOR,Explanation provided,pblock_floorplan|phys_opt|ExtraNetDelay|replication|congestion|block_inference|clock_skew_route,,,,0,https://jira.xilinx.com/public/bugcases/TSR/977000-977999/977746/
TSR-977749,versal,xcv80,QOR,Workaround Provided,SLR_assignment|pblock_floorplan|phys_opt|opt_directive|ExtraNetDelay|replication|high_fanout|congestion|block_inference|noc_qos|qor_suggestions|dont_touch,,,,8,https://jira.xilinx.com/public/bugcases/TSR/977000-977999/977749/
TSR-977802,versal,xcve2302,QOR,Explanation provided,SLR_assignment|pblock_floorplan|phys_opt|opt_directive|place_directive|route_directive|ExtraNetDelay|replication|congestion|block_inference|clock_skew_route|noc_qos|false_path_groups,,,,25,https://jira.xilinx.com/public/bugcases/TSR/977000-977999/977802/
TSR-978030,versal,xcvp1402,QOR,Explanation provided,phys_opt|ExtraNetDelay|congestion|block_inference,,,,2,https://jira.xilinx.com/public/bugcases/TSR/978000-978999/978030/
TSR-978087,versal,,QOR,Explanation provided,USER_CLUSTER|USER_CROSSING_SLR|SLR_assignment|pblock_floorplan|LOC_constraint|clock_uncertainty_OC|phys_opt|opt_directive|place_directive|route_directive|ExtraNetDelay|replication|high_fanout|congestion|block_inference|clock_skew_route|noc_qos|dont_touch,,,,45,https://jira.xilinx.com/public/bugcases/TSR/978000-978999/978087/
TSR-978097,versal,,QOR,Workaround Provided,SLR_assignment|pblock_floorplan|phys_opt|ExtraNetDelay|replication|high_fanout|congestion|block_inference,,,,0,https://jira.xilinx.com/public/bugcases/TSR/978000-978999/978097/
TSR-978099,versal,xcvp1802,QOR,Workaround Provided,SLR_assignment|phys_opt|opt_directive|place_directive|route_directive|ExtraNetDelay|congestion|clock_skew_route,,,,5,https://jira.xilinx.com/public/bugcases/TSR/978000-978999/978099/
TSR-978103,versal,,QOR,Workaround Provided,SLR_assignment|phys_opt|opt_directive|ExtraNetDelay|congestion|block_inference,,,,1,https://jira.xilinx.com/public/bugcases/TSR/978000-978999/978103/
TSR-978105,versal,XCVP1702,QOR,Workaround Provided,SLR_assignment|phys_opt|ExtraNetDelay|replication|congestion|block_inference|clock_skew_route|dont_touch,,,,2,https://jira.xilinx.com/public/bugcases/TSR/978000-978999/978105/
TSR-978156,versal,xcvp1802,Customer Expectation Mismatch,Workaround Provided,phys_opt|replication|congestion,,,,0,https://jira.xilinx.com/public/bugcases/TSR/978000-978999/978156/
TSR-978187,versal,,QOR,Workaround Provided,pblock_floorplan|phys_opt|ExtraNetDelay|replication|congestion|clock_skew_route|dont_touch,,,,2,https://jira.xilinx.com/public/bugcases/TSR/978000-978999/978187/
TSR-978309,versal,,QOR,Workaround Provided,USER_CLUSTER|USER_CROSSING_SLR|SLR_assignment|pblock_floorplan|LOC_constraint|clock_uncertainty_OC|phys_opt|opt_directive|place_directive|route_directive|ExtraNetDelay|replication|high_fanout|congestion|block_inference|clock_skew_route|noc_qos|dont_touch,-0.483,-0.099,6,47,https://jira.xilinx.com/public/bugcases/TSR/978000-978999/978309/
